ClosedXML;0.96.0; DocumentFormat.OpenXml;2.16.0;https://www.nuget.org/api/v2/package/DocumentFormat.OpenXml/2.16.0
Microsoft.Extensions.Hosting.Abstractions;2.2.0; Microsoft.Extensions.DependencyInjection.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/2.2.0
Microsoft.Extensions.Hosting.Abstractions;2.2.0; Microsoft.Extensions.FileProviders.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.FileProviders.Abstractions/2.2.0
Microsoft.Extensions.Configuration.Abstractions;2.2.0; Microsoft.Extensions.Primitives;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Primitives/2.2.0
Microsoft.Extensions.FileProviders.Abstractions;2.2.0; Microsoft.Extensions.Primitives;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Primitives/2.2.0
Microsoft.AspNetCore.Hosting.Server.Abstractions;2.2.0; Microsoft.Extensions.Configuration.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Configuration.Abstractions/2.2.0
Microsoft.AspNetCore.Hosting.Server.Abstractions;2.2.0; Microsoft.AspNetCore.Http.Features;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Features/2.2.0
Microsoft.AspNetCore.Cryptography.KeyDerivation;2.2.0; Microsoft.AspNetCore.Cryptography.Internal;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Cryptography.Internal/2.2.0
Microsoft.AspNetCore.Authentication.Cookies;2.2.0; Microsoft.AspNetCore.Authentication;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Authentication/2.2.0
Microsoft.AspNetCore.Authentication;2.2.0; Microsoft.Extensions.Options;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Options/2.2.0
Microsoft.AspNetCore.Authentication;2.2.0; Microsoft.AspNetCore.Authentication.Core;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Authentication.Core/2.2.0
Microsoft.AspNetCore.Authentication;2.2.0; Microsoft.AspNetCore.Http.Extensions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Extensions/2.2.0
Microsoft.AspNetCore.Authentication;2.2.0; Microsoft.Extensions.WebEncoders;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.WebEncoders/2.2.0
Microsoft.AspNetCore.Authentication;2.2.0; Microsoft.AspNetCore.Http;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http/2.2.0
Microsoft.AspNetCore.Authentication;2.2.0; Microsoft.Extensions.Logging.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging.Abstractions/2.2.0
Microsoft.AspNetCore.Authentication;2.2.0; Microsoft.AspNetCore.DataProtection;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.DataProtection/2.2.0
Microsoft.Extensions.Options;2.2.0; Microsoft.Extensions.Primitives;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Primitives/2.2.0
Microsoft.Extensions.Options;2.2.0; Microsoft.Extensions.DependencyInjection.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/2.2.0
Microsoft.AspNetCore.Authentication.Core;2.2.0; Microsoft.AspNetCore.Http.Extensions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Extensions/2.2.0
Microsoft.AspNetCore.Authentication.Core;2.2.0; Microsoft.AspNetCore.Authentication.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Authentication.Abstractions/2.2.0
Microsoft.AspNetCore.Authentication.Core;2.2.0; Microsoft.AspNetCore.Http;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http/2.2.0
Microsoft.AspNetCore.Http.Extensions;2.2.0; Microsoft.Extensions.FileProviders.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.FileProviders.Abstractions/2.2.0
Microsoft.AspNetCore.Http.Extensions;2.2.0; Microsoft.Net.Http.Headers;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Net.Http.Headers/2.2.0
Microsoft.AspNetCore.Http.Extensions;2.2.0; Microsoft.AspNetCore.Http.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Abstractions/2.2.0
Microsoft.Net.Http.Headers;2.2.0; Microsoft.Extensions.Primitives;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Primitives/2.2.0
Microsoft.AspNetCore.Authentication.Abstractions;2.2.0; Microsoft.Extensions.Options;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Options/2.2.0
Microsoft.AspNetCore.Authentication.Abstractions;2.2.0; Microsoft.Extensions.Logging.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging.Abstractions/2.2.0
Microsoft.AspNetCore.Authentication.Abstractions;2.2.0; Microsoft.AspNetCore.Http.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Abstractions/2.2.0
Microsoft.AspNetCore.Http;2.2.0; Microsoft.Extensions.Options;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Options/2.2.0
Microsoft.AspNetCore.Http;2.2.0; Microsoft.Extensions.ObjectPool;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.ObjectPool/2.2.0
Microsoft.AspNetCore.Http;2.2.0; Microsoft.AspNetCore.Http.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Abstractions/2.2.0
Microsoft.AspNetCore.Http;2.2.0; Microsoft.AspNetCore.WebUtilities;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.WebUtilities/2.2.0
Microsoft.AspNetCore.Http;2.2.0; Microsoft.Net.Http.Headers;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Net.Http.Headers/2.2.0
Microsoft.AspNetCore.WebUtilities;2.2.0; Microsoft.Net.Http.Headers;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Net.Http.Headers/2.2.0
Microsoft.Extensions.WebEncoders;2.2.0; Microsoft.Extensions.Options;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Options/2.2.0
Microsoft.Extensions.WebEncoders;2.2.0; Microsoft.Extensions.DependencyInjection.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/2.2.0
Microsoft.AspNetCore.DataProtection;2.2.0; Microsoft.AspNetCore.Cryptography.Internal;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Cryptography.Internal/2.2.0
Microsoft.AspNetCore.DataProtection;2.2.0; Microsoft.Extensions.Options;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Options/2.2.0
Microsoft.AspNetCore.DataProtection;2.2.0; Microsoft.Extensions.DependencyInjection.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/2.2.0
Microsoft.AspNetCore.DataProtection;2.2.0; Microsoft.AspNetCore.DataProtection.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.DataProtection.Abstractions/2.2.0
Microsoft.AspNetCore.DataProtection;2.2.0; Microsoft.AspNetCore.Hosting.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Hosting.Abstractions/2.2.0
Microsoft.AspNetCore.DataProtection;2.2.0; Microsoft.Win32.Registry;4.5.0;https://www.nuget.org/api/v2/package/Microsoft.Win32.Registry/4.5.0
Microsoft.AspNetCore.DataProtection;2.2.0; Microsoft.Extensions.Logging.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging.Abstractions/2.2.0
