  node_modules/@istanbuljs/load-nyc-config/node_modules/js-yaml; 3.14.1; https://registry.npmjs.org/js-yaml/-/js-yaml-3.14.1.tgz; Неизвестно; MIT; None
  node_modules/@istanbuljs/load-nyc-config/node_modules/locate-path; 5.0.0; https://registry.npmjs.org/locate-path/-/locate-path-5.0.0.tgz; Неизвестно; MIT; None
  node_modules/@istanbuljs/load-nyc-config/node_modules/p-limit; 2.3.0; https://registry.npmjs.org/p-limit/-/p-limit-2.3.0.tgz; Неизвестно; MIT; None
  node_modules/@istanbuljs/load-nyc-config/node_modules/p-locate; 4.1.0; https://registry.npmjs.org/p-locate/-/p-locate-4.1.0.tgz; Неизвестно; MIT; None
  node_modules/@istanbuljs/load-nyc-config/node_modules/resolve-from; 5.0.0; https://registry.npmjs.org/resolve-from/-/resolve-from-5.0.0.tgz; Неизвестно; MIT; None
  node_modules/@istanbuljs/schema; 0.1.3; https://registry.npmjs.org/@istanbuljs/schema/-/schema-0.1.3.tgz; Неизвестно; MIT; None
  node_modules/@jest/console; 29.7.0; https://registry.npmjs.org/@jest/console/-/console-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/core; 29.7.0; https://registry.npmjs.org/@jest/core/-/core-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/core/node_modules/ansi-styles; 5.2.0; https://registry.npmjs.org/ansi-styles/-/ansi-styles-5.2.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/core/node_modules/pretty-format; 29.7.0; https://registry.npmjs.org/pretty-format/-/pretty-format-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/core/node_modules/react-is; 18.3.1; https://registry.npmjs.org/react-is/-/react-is-18.3.1.tgz; Неизвестно; MIT; None
  node_modules/@jest/environment; 29.7.0; https://registry.npmjs.org/@jest/environment/-/environment-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/expect; 29.7.0; https://registry.npmjs.org/@jest/expect/-/expect-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/expect-utils; 29.7.0; https://registry.npmjs.org/@jest/expect-utils/-/expect-utils-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/fake-timers; 29.7.0; https://registry.npmjs.org/@jest/fake-timers/-/fake-timers-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/globals; 29.7.0; https://registry.npmjs.org/@jest/globals/-/globals-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/reporters; 29.7.0; https://registry.npmjs.org/@jest/reporters/-/reporters-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/schemas; 29.6.3; https://registry.npmjs.org/@jest/schemas/-/schemas-29.6.3.tgz; Неизвестно; MIT; None
